"time","R0.i","R0.v","R1.i","R1.v"
0.378,0.0004975124378022002,0.4975124378022002,0.000497512437810989,49.75124378109891
0.379,0.0004975124378027828,0.4975124378027829,0.0004975124378109861,49.75124378109861
0.38,0.0004975124378033513,0.4975124378033513,0.0004975124378109833,49.75124378109833
0.381,0.0004975124378039339,0.4975124378039339,0.0004975124378109804,49.75124378109804
0.382,0.0004975124378045166,0.4975124378045166,0.0004975124378109774,49.75124378109774
0.383,0.0004975124378050992,0.4975124378050992,0.0004975124378109745,49.75124378109745
0.384,0.0004975124378056819,0.4975124378056819,0.0004975124378109716,49.75124378109716
0.385,0.0004975124378062503,0.4975124378062503,0.0004975124378109688,49.75124378109687
0.386,0.000497512437806833,0.497512437806833,0.0004975124378109658,49.75124378109658
0.387,0.0004975124378074156,0.4975124378074156,0.0004975124378109629,49.75124378109629
0.388,0.0004975124378079983,0.4975124378079983,0.0004975124378109601,49.75124378109601
0.389,0.0004975124378085667,0.4975124378085667,0.0004975124378109572,49.75124378109572
0.39,0.0004975124378091494,0.4975124378091493,0.0004975124378109542,49.75124378109543
0.391,0.000497512437809732,0.497512437809732,0.0004975124378109514,49.75124378109514
0.392,0.0004975124378103147,0.4975124378103146,0.0004975124378109485,49.75124378109485
0.393,0.0004975124378103857,0.4975124378103857,0.0004975124378109481,49.75124378109481
0.394,0.0004975124378103857,0.4975124378103857,0.0004975124378109481,49.75124378109481
0.395,0.0004975124378103857,0.4975124378103857,0.0004975124378109481,49.75124378109481
0.396,0.0004975124378103999,0.4975124378103999,0.0004975124378109481,49.75124378109481
0.397,0.0004975124378103999,0.4975124378103999,0.0004975124378109481,49.75124378109481
0.398,0.0004975124378103999,0.4975124378103999,0.0004975124378109481,49.75124378109481
0.399,0.0004975124378103999,0.4975124378103999,0.0004975124378109481,49.75124378109481
0.4,0.0004975124378104141,0.4975124378104141,0.000497512437810948,49.75124378109479
0.401,0.0004975124378104141,0.4975124378104141,0.000497512437810948,49.75124378109479
0.402,0.0004975124378104141,0.4975124378104141,0.000497512437810948,49.75124378109479
0.403,0.0004975124378104283,0.4975124378104283,0.000497512437810948,49.75124378109479
0.404,0.0004975124378104283,0.4975124378104283,0.000497512437810948,49.75124378109479
0.405,0.0004975124378104283,0.4975124378104283,0.000497512437810948,49.75124378109479
0.406,0.0004975124378104425,0.4975124378104425,0.0004975124378109478,49.75124378109479
0.407,0.0004975124378104425,0.4975124378104425,0.0004975124378109477,49.75124378109477
0.408,0.0004975124378104425,0.4975124378104425,0.0004975124378109478,49.75124378109479
0.409,0.0004975124378104567,0.4975124378104567,0.0004975124378109477,49.75124378109477
0.41,0.0004975124378104567,0.4975124378104567,0.0004975124378109477,49.75124378109477
0.411,0.0004975124378104567,0.4975124378104567,0.0004975124378109477,49.75124378109477
0.412,0.0004975124378104567,0.4975124378104567,0.0004975124378109477,49.75124378109477
0.413,0.0004975124378104709,0.4975124378104709,0.0004975124378109477,49.75124378109477
0.414,0.0004975124378104709,0.4975124378104709,0.0004975124378109476,49.75124378109476
0.415,0.0004975124378104709,0.4975124378104709,0.0004975124378109477,49.75124378109477
0.416,0.0004975124378104851,0.4975124378104852,0.0004975124378109476,49.75124378109476
0.417,0.0004975124378104851,0.4975124378104852,0.0004975124378109476,49.75124378109476
0.418,0.0004975124378104851,0.4975124378104852,0.0004975124378109476,49.75124378109476
0.419,0.0004975124378104993,0.4975124378104994,0.0004975124378109475,49.75124378109475
0.42,0.0004975124378104993,0.4975124378104994,0.0004975124378109475,49.75124378109475
0.421,0.0004975124378104993,0.4975124378104994,0.0004975124378109475,49.75124378109475
0.422,0.0004975124378105136,0.4975124378105136,0.0004975124378109475,49.75124378109475
0.423,0.0004975124378105136,0.4975124378105136,0.0004975124378109475,49.75124378109475
0.424,0.0004975124378105136,0.4975124378105136,0.0004975124378109475,49.75124378109475
0.425,0.0004975124378105136,0.4975124378105136,0.0004975124378109475,49.75124378109475
0.426,0.0004975124378105278,0.4975124378105278,0.0004975124378109474,49.75124378109474
0.427,0.0004975124378105278,0.4975124378105278,0.0004975124378109473,49.75124378109473
0.428,0.0004975124378105278,0.4975124378105278,0.0004975124378109474,49.75124378109474
0.429,0.000497512437810542,0.497512437810542,0.0004975124378109473,49.75124378109473
0.43,0.000497512437810542,0.497512437810542,0.0004975124378109473,49.75124378109473
0.431,0.000497512437810542,0.497512437810542,0.0004975124378109473,49.75124378109473
0.432,0.0004975124378105562,0.4975124378105562,0.0004975124378109472,49.75124378109472
0.433,0.0004975124378105562,0.4975124378105562,0.0004975124378109472,49.75124378109472
0.434,0.0004975124378105562,0.4975124378105562,0.0004975124378109472,49.75124378109472
0.435,0.0004975124378105704,0.4975124378105704,0.0004975124378109472,49.75124378109472
0.436,0.0004975124378105704,0.4975124378105704,0.0004975124378109472,49.75124378109472
0.437,0.0004975124378105704,0.4975124378105704,0.0004975124378109472,49.75124378109472
0.438,0.0004975124378105704,0.4975124378105704,0.0004975124378109472,49.75124378109472
0.439,0.0004975124378105846,0.4975124378105846,0.0004975124378109471,49.75124378109471
0.44,0.0004975124378105846,0.4975124378105846,0.0004975124378109471,49.75124378109471
0.441,0.0004975124378105846,0.4975124378105846,0.0004975124378109471,49.75124378109471
0.442,0.0004975124378105988,0.4975124378105988,0.0004975124378109471,49.75124378109471
0.443,0.0004975124378105988,0.4975124378105988,0.0004975124378109471,49.75124378109471
0.444,0.0004975124378105988,0.4975124378105988,0.0004975124378109471,49.75124378109471
0.445,0.000497512437810613,0.4975124378106131,0.000497512437810947,49.7512437810947
0.446,0.000497512437810613,0.4975124378106131,0.0004975124378109469,49.75124378109469
0.447,0.000497512437810613,0.4975124378106131,0.000497512437810947,49.7512437810947
0.448,0.0004975124378106272,0.4975124378106273,0.0004975124378109469,49.75124378109469
0.449,0.0004975124378106272,0.4975124378106273,0.0004975124378109469,49.75124378109469
0.45,0.0004975124378106272,0.4975124378106273,0.0004975124378109469,49.75124378109469
0.451,0.0004975124378106272,0.4975124378106273,0.0004975124378109469,49.75124378109469
0.452,0.0004975124378106414,0.4975124378106415,0.0004975124378109469,49.75124378109469
0.453,0.0004975124378106414,0.4975124378106415,0.0004975124378109468,49.75124378109468
0.454,0.0004975124378106414,0.4975124378106415,0.0004975124378109469,49.75124378109469
0.455,0.0004975124378106557,0.4975124378106557,0.0004975124378109468,49.75124378109468
